Metodo,Patch,PPG_BPM,ECG_BPM,PPG_iRPM,PRE_iRPM,FS,Tempo,SQI1,SQI2
GBGR,50,65.2821,65.6269,21.1382,12.0,53.479692645444565,10,0.5704939872877892,0.00010715099556793353
GBGR,6,66.27,65.6269,21.1382,12.0,53.479692645444565,10,0.6005133439246643,3.56439106808555e-05
GBGR,69,56.9045,65.6269,21.1382,12.0,53.479692645444565,10,0.5556306128595813,9.278482849100648e-05
GBGR,9,66.1515,65.6269,21.1382,12.0,53.479692645444565,10,0.7939765920560276,2.9028459315057228e-05
GREEN,10,67.337,65.6269,16.9106,12.0,53.479692645444565,10,0.37203395103269454,0.00017866945695789473
GREEN,101,54.7311,65.6269,21.1382,12.0,53.479692645444565,10,0.41931775832160734,0.000112502824051488
GREEN,104,41.2558,65.6269,16.9106,12.0,53.479692645444565,10,0.5304396297223628,7.320115398307405e-05
GREEN,107,41.2162,65.6269,16.9106,12.0,53.479692645444565,10,0.5927055232698841,2.7568593603294663e-05
GREEN,108,54.5335,65.6269,21.1382,12.0,53.479692645444565,10,0.5646499173974013,7.388945719039462e-05
GREEN,109,48.0527,65.6269,21.1382,12.0,53.479692645444565,10,0.44283846997909393,6.550457353532935e-05
GREEN,135,52.9923,65.6269,12.6829,12.0,53.479692645444565,10,0.5007601229856937,7.06251099172078e-05
GREEN,151,54.6915,65.6269,12.6829,12.0,53.479692645444565,10,0.532731638510481,7.874035905076156e-06
GREEN,18,44.5752,65.6269,16.9106,12.0,53.479692645444565,10,0.4372403710554821,0.0001879152912389515
GREEN,188,53.5851,65.6269,12.6829,12.0,53.479692645444565,10,0.40153147810280354,2.3435496770696107e-05
GREEN,199,73.3831,65.6269,21.1382,12.0,53.479692645444565,10,0.3333770906862712,6.656271055812149e-05
GREEN,266,39.2799,65.6269,21.1382,12.0,53.479692645444565,10,0.38818118599464746,4.787606938419122e-05
GREEN,280,41.73,65.6269,0,12.0,53.479692645444565,10,0.5113983564133009,5.795222787037171e-05
GREEN,299,54.5335,65.6269,21.1382,12.0,53.479692645444565,10,0.5165515790067021,0.00010515666210233766
GREEN,330,65.9539,65.6269,21.1382,12.0,53.479692645444565,10,0.532724924002008,4.900161251460731e-05
GREEN,333,41.9276,65.6269,12.6829,12.0,53.479692645444565,10,0.545804914715422,3.638517003187078e-05
GREEN,336,80.4566,65.6269,21.1382,12.0,53.479692645444565,10,0.26681037274727193,6.460225501185182e-05
GREEN,337,54.7311,65.6269,21.1382,12.0,53.479692645444565,10,0.5600846821030713,6.238714559539946e-05
GREEN,338,42.4018,65.6269,0,12.0,53.479692645444565,10,0.4759652732355695,6.42521700746193e-06
GREEN,347,55.4424,65.6269,21.1382,12.0,53.479692645444565,10,0.5087761834257223,2.7364375528865285e-05
GREEN,36,57.1416,65.6269,12.6829,12.0,53.479692645444565,10,0.5154960842801415,4.680112806967802e-06
GREEN,364,53.9802,65.6269,21.1382,12.0,53.479692645444565,10,0.49937093983626957,4.0720059044171675e-05
GREEN,4,66.0329,65.6269,16.9106,12.0,53.479692645444565,10,0.5969663083165236,0.00010076609006982877
GREEN,50,52.7157,65.6269,12.6829,12.0,53.479692645444565,10,0.5213135234916295,2.7885211544382914e-05
GREEN,6,40.1493,65.6269,16.9106,12.0,53.479692645444565,10,0.5296315946815366,7.777705831177621e-05
GREEN,69,54.1778,65.6269,21.1382,12.0,53.479692645444565,10,0.4700230982283987,0.00020938398297592437
